Time,Semester Break,Exam,Holiday,Tickets,Weekday,Month
7/24/2022,0,0,0,0,1,7
7/25/2022,0,0,0,8,0,7
7/26/2022,0,0,0,18,0,7
7/27/2022,0,0,0,21,0,7
7/28/2022,0,0,0,7,0,7
7/29/2022,0,0,0,7,0,7
7/30/2022,0,0,0,0,1,7
7/31/2022,0,0,0,0,1,7
8/1/2022,0,0,0,14,0,8
8/2/2022,0,0,0,10,0,8
8/3/2022,0,0,0,13,0,8
8/4/2022,0,0,0,10,0,8
8/5/2022,0,0,0,8,0,8
8/6/2022,0,0,0,0,1,8
8/7/2022,0,0,0,0,1,8
8/8/2022,0,0,0,15,0,8
8/9/2022,0,0,0,10,0,8
8/10/2022,0,0,0,2,0,8
8/11/2022,0,1,0,8,0,8
8/12/2022,0,1,0,0,0,8
8/13/2022,1,0,0,0,1,8
8/14/2022,1,0,0,0,1,8
8/15/2022,1,0,0,23,0,8
8/16/2022,1,0,0,5,0,8
8/17/2022,1,0,0,10,0,8
8/18/2022,1,0,0,4,0,8
8/19/2022,1,0,0,0,0,8
8/20/2022,1,0,0,0,1,8
8/21/2022,1,0,0,0,1,8
8/22/2022,0,0,0,16,0,8
8/23/2022,0,0,0,40,0,8
8/24/2022,0,0,0,65,0,8
